slang,standard_word,category
bt,kết nối bluetooth,tech
bắt sóng,kết nối mạng,tech
sóng yếu,kết nối mạng yếu,tech
mất sóng,mất kết nối mạng,tech
tai,tai nghe,tech
tai nghe,tai nghe,tech
earbud,tai nghe nhét tai,tech
earbuds,tai nghe nhét tai,tech
in ear,tai nghe nhét tai,tech
over ear,tai nghe chụp tai,tech
chụp tai,tai nghe chụp tai,tech
true wireless,tai nghe không dây,tech
tw,tai nghe không dây,tech
tws,tai nghe không dây,tech
anc,chống ồn chủ động,tech
chống ồn,chống ồn,tech
xuyên âm,chế độ xuyên âm,tech
bass,âm trầm,tech
bass lực,âm trầm mạnh,tech
bass yếu,âm trầm yếu,tech
treble,âm cao,tech
treble gắt,âm cao bị gắt,tech
mid,âm trung,tech
âm trường,không gian âm thanh,tech
âm chi tiết,âm thanh chi tiết,tech
âm đục,âm thanh không rõ,tech
rè âm,âm thanh bị rè,tech
delay,độ trễ,tech
độ trễ cao,độ trễ lớn,tech
delay thấp,độ trễ thấp,tech
đeo êm,đeo thoải mái,tech
đeo đau tai,đeo không thoải mái,tech
fit tai,vừa tai,tech
rơi tai,dễ rơi khỏi tai,tech
case,hộp sạc,tech
case sạc,hộp sạc,tech
kén tai,không phù hợp nhiều dáng tai,tech
