product_id,product_name,brand,category,release_year,aliases
samsung-galaxy-a05s,Samsung Galaxy A05s,Samsung,Điện thoại,2025,Galaxy A05s|samsung galaxy a05s
samsung-galaxy-a15,Samsung Galaxy A15,Samsung,Điện thoại,2025,Galaxy A15|samsung galaxy a15
samsung-galaxy-a25,Samsung Galaxy A25,Samsung,Điện thoại,2025,Galaxy A25|samsung galaxy a25
samsung-galaxy-a35,Samsung Galaxy A35,Samsung,Điện thoại,2025,Galaxy A35|samsung galaxy a35
samsung-galaxy-a55,Samsung Galaxy A55,Samsung,Điện thoại,2025,Galaxy A55|samsung galaxy a55
samsung-galaxy-a14,Samsung Galaxy A14,Samsung,Điện thoại,2025,Galaxy A14|samsung galaxy a14
samsung-galaxy-a24,Samsung Galaxy A24,Samsung,Điện thoại,2025,Galaxy A24|samsung galaxy a24
samsung-galaxy-a34,Samsung Galaxy A34,Samsung,Điện thoại,2025,Galaxy A34|samsung galaxy a34
samsung-galaxy-a54,Samsung Galaxy A54,Samsung,Điện thoại,2025,Galaxy A54|samsung galaxy a54
samsung-galaxy-m15,Samsung Galaxy M15,Samsung,Điện thoại,2025,Galaxy M15|samsung galaxy m15
samsung-galaxy-m35,Samsung Galaxy M35,Samsung,Điện thoại,2025,Galaxy M35|samsung galaxy m35
samsung-galaxy-m55,Samsung Galaxy M55,Samsung,Điện thoại,2025,Galaxy M55|samsung galaxy m55
xiaomi-15,Xiaomi 15,Xiaomi,Điện thoại,2025,15|xiaomi 15
xiaomi-15-pro,Xiaomi 15 Pro,Xiaomi,Điện thoại,2025,15 Pro|xiaomi 15 pro
xiaomi-15-ultra,Xiaomi 15 Ultra,Xiaomi,Điện thoại,2025,15 Ultra|xiaomi 15 ultra
xiaomi-15-lite,Xiaomi 15 Lite,Xiaomi,Điện thoại,2025,15 Lite|xiaomi 15 lite
xiaomi-15t,Xiaomi 15T,Xiaomi,Điện thoại,2025,15T|xiaomi 15t
xiaomi-15t-pro,Xiaomi 15T Pro,Xiaomi,Điện thoại,2025,15T Pro|xiaomi 15t pro
xiaomi-14,Xiaomi 14,Xiaomi,Điện thoại,2024,14|xiaomi 14
xiaomi-14-pro,Xiaomi 14 Pro,Xiaomi,Điện thoại,2024,14 Pro|xiaomi 14 pro
xiaomi-14-ultra,Xiaomi 14 Ultra,Xiaomi,Điện thoại,2024,14 Ultra|xiaomi 14 ultra
xiaomi-14-lite,Xiaomi 14 Lite,Xiaomi,Điện thoại,2024,14 Lite|xiaomi 14 lite
xiaomi-14t,Xiaomi 14T,Xiaomi,Điện thoại,2024,14T|xiaomi 14t
xiaomi-14t-pro,Xiaomi 14T Pro,Xiaomi,Điện thoại,2024,14T Pro|xiaomi 14t pro
xiaomi-13,Xiaomi 13,Xiaomi,Điện thoại,2023,13|xiaomi 13
xiaomi-13-pro,Xiaomi 13 Pro,Xiaomi,Điện thoại,2023,13 Pro|xiaomi 13 pro
xiaomi-13-ultra,Xiaomi 13 Ultra,Xiaomi,Điện thoại,2023,13 Ultra|xiaomi 13 ultra
xiaomi-13-lite,Xiaomi 13 Lite,Xiaomi,Điện thoại,2023,13 Lite|xiaomi 13 lite
xiaomi-13t,Xiaomi 13T,Xiaomi,Điện thoại,2023,13T|xiaomi 13t
xiaomi-13t-pro,Xiaomi 13T Pro,Xiaomi,Điện thoại,2023,13T Pro|xiaomi 13t pro
xiaomi-12,Xiaomi 12,Xiaomi,Điện thoại,2022,12|xiaomi 12
xiaomi-12-pro,Xiaomi 12 Pro,Xiaomi,Điện thoại,2022,12 Pro|xiaomi 12 pro
xiaomi-12-ultra,Xiaomi 12 Ultra,Xiaomi,Điện thoại,2022,12 Ultra|xiaomi 12 ultra
xiaomi-12-lite,Xiaomi 12 Lite,Xiaomi,Điện thoại,2022,12 Lite|xiaomi 12 lite
xiaomi-12t,Xiaomi 12T,Xiaomi,Điện thoại,2022,12T|xiaomi 12t
xiaomi-12t-pro,Xiaomi 12T Pro,Xiaomi,Điện thoại,2022,12T Pro|xiaomi 12t pro
xiaomi-11,Xiaomi 11,Xiaomi,Điện thoại,2021,11|xiaomi 11
xiaomi-11-pro,Xiaomi 11 Pro,Xiaomi,Điện thoại,2021,11 Pro|xiaomi 11 pro
xiaomi-11-ultra,Xiaomi 11 Ultra,Xiaomi,Điện thoại,2021,11 Ultra|xiaomi 11 ultra
xiaomi-11-lite,Xiaomi 11 Lite,Xiaomi,Điện thoại,2021,11 Lite|xiaomi 11 lite
xiaomi-11t,Xiaomi 11T,Xiaomi,Điện thoại,2021,11T|xiaomi 11t
xiaomi-11t-pro,Xiaomi 11T Pro,Xiaomi,Điện thoại,2021,11T Pro|xiaomi 11t pro
redmi-note-14,Redmi Note 14,Xiaomi,Điện thoại,2025,redmi note 14
redmi-note-14-pro,Redmi Note 14 Pro,Xiaomi,Điện thoại,2025,redmi note 14 pro
redmi-note-14-pro-plus,Redmi Note 14 Pro+,Xiaomi,Điện thoại,2025,redmi note 14 pro+
redmi-note-14-5g,Redmi Note 14 5G,Xiaomi,Điện thoại,2025,redmi note 14 5g
redmi-note-13,Redmi Note 13,Xiaomi,Điện thoại,2025,redmi note 13
redmi-note-13-pro,Redmi Note 13 Pro,Xiaomi,Điện thoại,2025,redmi note 13 pro
redmi-note-13-pro-plus,Redmi Note 13 Pro+,Xiaomi,Điện thoại,2025,redmi note 13 pro+
redmi-note-13-5g,Redmi Note 13 5G,Xiaomi,Điện thoại,2025,redmi note 13 5g
redmi-note-12,Redmi Note 12,Xiaomi,Điện thoại,2025,redmi note 12
redmi-note-12-pro,Redmi Note 12 Pro,Xiaomi,Điện thoại,2025,redmi note 12 pro
redmi-note-12-pro-plus,Redmi Note 12 Pro+,Xiaomi,Điện thoại,2025,redmi note 12 pro+
redmi-note-12-5g,Redmi Note 12 5G,Xiaomi,Điện thoại,2025,redmi note 12 5g
redmi-note-11,Redmi Note 11,Xiaomi,Điện thoại,2025,redmi note 11
redmi-note-11-pro,Redmi Note 11 Pro,Xiaomi,Điện thoại,2025,redmi note 11 pro
redmi-note-11-pro-plus,Redmi Note 11 Pro+,Xiaomi,Điện thoại,2025,redmi note 11 pro+
redmi-note-11-5g,Redmi Note 11 5G,Xiaomi,Điện thoại,2025,redmi note 11 5g
redmi-note-10,Redmi Note 10,Xiaomi,Điện thoại,2025,redmi note 10
redmi-note-10-pro,Redmi Note 10 Pro,Xiaomi,Điện thoại,2025,redmi note 10 pro
redmi-note-10-pro-plus,Redmi Note 10 Pro+,Xiaomi,Điện thoại,2025,redmi note 10 pro+
redmi-note-10-5g,Redmi Note 10 5G,Xiaomi,Điện thoại,2025,redmi note 10 5g
poco-f7,POCO F7,POCO,Điện thoại,2025,F7|poco f7
poco-f7-pro,POCO F7 Pro,POCO,Điện thoại,2025,F7 Pro|poco f7 pro
poco-x7,POCO X7,POCO,Điện thoại,2025,X7|poco x7
poco-x7-pro,POCO X7 Pro,POCO,Điện thoại,2025,X7 Pro|poco x7 pro
poco-m7,POCO M7,POCO,Điện thoại,2025,M7|poco m7
poco-m7-pro,POCO M7 Pro,POCO,Điện thoại,2025,M7 Pro|poco m7 pro
poco-f6,POCO F6,POCO,Điện thoại,2025,F6|poco f6
poco-f6-pro,POCO F6 Pro,POCO,Điện thoại,2025,F6 Pro|poco f6 pro
poco-x6,POCO X6,POCO,Điện thoại,2025,X6|poco x6
poco-x6-pro,POCO X6 Pro,POCO,Điện thoại,2025,X6 Pro|poco x6 pro
poco-m6,POCO M6,POCO,Điện thoại,2025,M6|poco m6
poco-m6-pro,POCO M6 Pro,POCO,Điện thoại,2025,M6 Pro|poco m6 pro
oppo-find-x8,OPPO Find X8,OPPO,Điện thoại,2025,Find X8|oppo find x8
oppo-find-x8-pro,OPPO Find X8 Pro,OPPO,Điện thoại,2025,Find X8 Pro|oppo find x8 pro
oppo-find-x8-ultra,OPPO Find X8 Ultra,OPPO,Điện thoại,2025,Find X8 Ultra|oppo find x8 ultra
oppo-find-x7,OPPO Find X7,OPPO,Điện thoại,2025,Find X7|oppo find x7
oppo-find-x7-pro,OPPO Find X7 Pro,OPPO,Điện thoại,2025,Find X7 Pro|oppo find x7 pro
oppo-find-x7-ultra,OPPO Find X7 Ultra,OPPO,Điện thoại,2025,Find X7 Ultra|oppo find x7 ultra
oppo-find-x6,OPPO Find X6,OPPO,Điện thoại,2025,Find X6|oppo find x6
oppo-find-x6-pro,OPPO Find X6 Pro,OPPO,Điện thoại,2025,Find X6 Pro|oppo find x6 pro
oppo-find-x6-ultra,OPPO Find X6 Ultra,OPPO,Điện thoại,2025,Find X6 Ultra|oppo find x6 ultra
oppo-find-x5,OPPO Find X5,OPPO,Điện thoại,2025,Find X5|oppo find x5
oppo-find-x5-pro,OPPO Find X5 Pro,OPPO,Điện thoại,2025,Find X5 Pro|oppo find x5 pro
oppo-find-x5-ultra,OPPO Find X5 Ultra,OPPO,Điện thoại,2025,Find X5 Ultra|oppo find x5 ultra
oppo-find-x3,OPPO Find X3,OPPO,Điện thoại,2025,Find X3|oppo find x3
oppo-find-x3-pro,OPPO Find X3 Pro,OPPO,Điện thoại,2025,Find X3 Pro|oppo find x3 pro
oppo-find-x3-ultra,OPPO Find X3 Ultra,OPPO,Điện thoại,2025,Find X3 Ultra|oppo find x3 ultra
oppo-reno-14,OPPO Reno 14,OPPO,Điện thoại,2025,Reno 14|oppo reno 14
oppo-reno-14-pro,OPPO Reno 14 Pro,OPPO,Điện thoại,2025,Reno 14 Pro|oppo reno 14 pro
oppo-reno-14-pro-plus,OPPO Reno 14 Pro+,OPPO,Điện thoại,2025,Reno 14 Pro+|oppo reno 14 pro+
oppo-reno-13,OPPO Reno 13,OPPO,Điện thoại,2025,Reno 13|oppo reno 13
oppo-reno-13-pro,OPPO Reno 13 Pro,OPPO,Điện thoại,2025,Reno 13 Pro|oppo reno 13 pro
oppo-reno-13-pro-plus,OPPO Reno 13 Pro+,OPPO,Điện thoại,2025,Reno 13 Pro+|oppo reno 13 pro+
oppo-reno-12,OPPO Reno 12,OPPO,Điện thoại,2025,Reno 12|oppo reno 12
oppo-reno-12-pro,OPPO Reno 12 Pro,OPPO,Điện thoại,2025,Reno 12 Pro|oppo reno 12 pro
oppo-reno-12-pro-plus,OPPO Reno 12 Pro+,OPPO,Điện thoại,2025,Reno 12 Pro+|oppo reno 12 pro+
oppo-reno-11,OPPO Reno 11,OPPO,Điện thoại,2025,Reno 11|oppo reno 11
oppo-reno-11-pro,OPPO Reno 11 Pro,OPPO,Điện thoại,2025,Reno 11 Pro|oppo reno 11 pro
oppo-reno-11-pro-plus,OPPO Reno 11 Pro+,OPPO,Điện thoại,2025,Reno 11 Pro+|oppo reno 11 pro+
oppo-reno-10,OPPO Reno 10,OPPO,Điện thoại,2025,Reno 10|oppo reno 10
oppo-reno-10-pro,OPPO Reno 10 Pro,OPPO,Điện thoại,2025,Reno 10 Pro|oppo reno 10 pro
oppo-reno-10-pro-plus,OPPO Reno 10 Pro+,OPPO,Điện thoại,2025,Reno 10 Pro+|oppo reno 10 pro+
oppo-reno-8,OPPO Reno 8,OPPO,Điện thoại,2025,Reno 8|oppo reno 8
oppo-reno-8-pro,OPPO Reno 8 Pro,OPPO,Điện thoại,2025,Reno 8 Pro|oppo reno 8 pro
oppo-reno-8-pro-plus,OPPO Reno 8 Pro+,OPPO,Điện thoại,2025,Reno 8 Pro+|oppo reno 8 pro+
vivo-x200,vivo X200,vivo,Điện thoại,2025,X200|vivo x200
vivo-x200-pro,vivo X200 Pro,vivo,Điện thoại,2025,X200 Pro|vivo x200 pro
vivo-x200-ultra,vivo X200 Ultra,vivo,Điện thoại,2025,X200 Ultra|vivo x200 ultra
vivo-x100,vivo X100,vivo,Điện thoại,2025,X100|vivo x100
vivo-x100-pro,vivo X100 Pro,vivo,Điện thoại,2025,X100 Pro|vivo x100 pro
vivo-x100-ultra,vivo X100 Ultra,vivo,Điện thoại,2025,X100 Ultra|vivo x100 ultra
vivo-x90,vivo X90,vivo,Điện thoại,2025,X90|vivo x90
vivo-x90-pro,vivo X90 Pro,vivo,Điện thoại,2025,X90 Pro|vivo x90 pro
vivo-x90-ultra,vivo X90 Ultra,vivo,Điện thoại,2025,X90 Ultra|vivo x90 ultra
vivo-x80,vivo X80,vivo,Điện thoại,2025,X80|vivo x80
vivo-x80-pro,vivo X80 Pro,vivo,Điện thoại,2025,X80 Pro|vivo x80 pro
vivo-x80-ultra,vivo X80 Ultra,vivo,Điện thoại,2025,X80 Ultra|vivo x80 ultra
vivo-v50,vivo V50,vivo,Điện thoại,2025,V50|vivo v50
vivo-v50-pro,vivo V50 Pro,vivo,Điện thoại,2025,V50 Pro|vivo v50 pro
vivo-v40,vivo V40,vivo,Điện thoại,2025,V40|vivo v40
vivo-v40-pro,vivo V40 Pro,vivo,Điện thoại,2025,V40 Pro|vivo v40 pro
vivo-v30,vivo V30,vivo,Điện thoại,2025,V30|vivo v30
vivo-v30-pro,vivo V30 Pro,vivo,Điện thoại,2025,V30 Pro|vivo v30 pro
vivo-v29,vivo V29,vivo,Điện thoại,2025,V29|vivo v29
vivo-v29-pro,vivo V29 Pro,vivo,Điện thoại,2025,V29 Pro|vivo v29 pro
vivo-v27,vivo V27,vivo,Điện thoại,2025,V27|vivo v27
vivo-v27-pro,vivo V27 Pro,vivo,Điện thoại,2025,V27 Pro|vivo v27 pro
oneplus-13,OnePlus 13,OnePlus,Điện thoại,2025,13|oneplus 13
oneplus-13r,OnePlus 13R,OnePlus,Điện thoại,2025,13R|oneplus 13r
oneplus-13-pro,OnePlus 13 Pro,OnePlus,Điện thoại,2025,13 Pro|oneplus 13 pro
oneplus-12,OnePlus 12,OnePlus,Điện thoại,2025,12|oneplus 12
oneplus-12r,OnePlus 12R,OnePlus,Điện thoại,2025,12R|oneplus 12r
oneplus-12-pro,OnePlus 12 Pro,OnePlus,Điện thoại,2025,12 Pro|oneplus 12 pro
oneplus-11,OnePlus 11,OnePlus,Điện thoại,2025,11|oneplus 11
oneplus-11r,OnePlus 11R,OnePlus,Điện thoại,2025,11R|oneplus 11r
oneplus-11-pro,OnePlus 11 Pro,OnePlus,Điện thoại,2025,11 Pro|oneplus 11 pro
oneplus-10,OnePlus 10,OnePlus,Điện thoại,2025,10|oneplus 10
oneplus-10r,OnePlus 10R,OnePlus,Điện thoại,2025,10R|oneplus 10r
oneplus-10-pro,OnePlus 10 Pro,OnePlus,Điện thoại,2025,10 Pro|oneplus 10 pro
oneplus-9,OnePlus 9,OnePlus,Điện thoại,2025,9|oneplus 9
oneplus-9r,OnePlus 9R,OnePlus,Điện thoại,2025,9R|oneplus 9r
oneplus-9-pro,OnePlus 9 Pro,OnePlus,Điện thoại,2025,9 Pro|oneplus 9 pro
google-pixel-9,Google Pixel 9,Google,Điện thoại,2025,Pixel 9|google pixel 9
google-pixel-9-pro,Google Pixel 9 Pro,Google,Điện thoại,2025,Pixel 9 Pro|google pixel 9 pro
google-pixel-9-pro-xl,Google Pixel 9 Pro XL,Google,Điện thoại,2025,Pixel 9 Pro XL|google pixel 9 pro xl
google-pixel-9a,Google Pixel 9a,Google,Điện thoại,2025,Pixel 9a|google pixel 9a
google-pixel-8,Google Pixel 8,Google,Điện thoại,2025,Pixel 8|google pixel 8
google-pixel-8-pro,Google Pixel 8 Pro,Google,Điện thoại,2025,Pixel 8 Pro|google pixel 8 pro
google-pixel-8-pro-xl,Google Pixel 8 Pro XL,Google,Điện thoại,2025,Pixel 8 Pro XL|google pixel 8 pro xl
google-pixel-8a,Google Pixel 8a,Google,Điện thoại,2025,Pixel 8a|google pixel 8a
google-pixel-7,Google Pixel 7,Google,Điện thoại,2025,Pixel 7|google pixel 7
google-pixel-7-pro,Google Pixel 7 Pro,Google,Điện thoại,2025,Pixel 7 Pro|google pixel 7 pro
google-pixel-7-pro-xl,Google Pixel 7 Pro XL,Google,Điện thoại,2025,Pixel 7 Pro XL|google pixel 7 pro xl
google-pixel-7a,Google Pixel 7a,Google,Điện thoại,2025,Pixel 7a|google pixel 7a
google-pixel-6,Google Pixel 6,Google,Điện thoại,2025,Pixel 6|google pixel 6
google-pixel-6-pro,Google Pixel 6 Pro,Google,Điện thoại,2025,Pixel 6 Pro|google pixel 6 pro
google-pixel-6-pro-xl,Google Pixel 6 Pro XL,Google,Điện thoại,2025,Pixel 6 Pro XL|google pixel 6 pro xl
google-pixel-6a,Google Pixel 6a,Google,Điện thoại,2025,Pixel 6a|google pixel 6a
honor-magic7,HONOR Magic7,HONOR,Điện thoại,2025,Magic7|honor magic7
honor-magic7-pro,HONOR Magic7 Pro,HONOR,Điện thoại,2025,Magic7 Pro|honor magic7 pro
honor-magic7-lite,HONOR Magic7 Lite,HONOR,Điện thoại,2025,Magic7 Lite|honor magic7 lite
honor-magic6,HONOR Magic6,HONOR,Điện thoại,2025,Magic6|honor magic6
honor-magic6-pro,HONOR Magic6 Pro,HONOR,Điện thoại,2025,Magic6 Pro|honor magic6 pro
honor-magic6-lite,HONOR Magic6 Lite,HONOR,Điện thoại,2025,Magic6 Lite|honor magic6 lite
honor-magic5,HONOR Magic5,HONOR,Điện thoại,2025,Magic5|honor magic5
honor-magic5-pro,HONOR Magic5 Pro,HONOR,Điện thoại,2025,Magic5 Pro|honor magic5 pro
honor-magic5-lite,HONOR Magic5 Lite,HONOR,Điện thoại,2025,Magic5 Lite|honor magic5 lite
nothing-phone-3,Nothing Phone (3),Nothing,Điện thoại,2025,Phone (3)|nothing phone (3)
nothing-phone-3a,Nothing Phone (3a),Nothing,Điện thoại,2025,Phone (3a)|nothing phone (3a)
nothing-phone-3a-pro,Nothing Phone (3a) Pro,Nothing,Điện thoại,2025,Phone (3a) Pro|nothing phone (3a) pro
nothing-phone-2,Nothing Phone (2),Nothing,Điện thoại,2025,Phone (2)|nothing phone (2)
nothing-phone-2a,Nothing Phone (2a),Nothing,Điện thoại,2025,Phone (2a)|nothing phone (2a)
nothing-phone-2a-plus,Nothing Phone (2a) Plus,Nothing,Điện thoại,2025,Phone (2a) Plus|nothing phone (2a) plus
nothing-cmf-phone-1,Nothing CMF Phone 1,Nothing,Điện thoại,2025,CMF Phone 1|nothing cmf phone 1
nothing-cmf-phone-2-pro,Nothing CMF Phone 2 Pro,Nothing,Điện thoại,2025,CMF Phone 2 Pro|nothing cmf phone 2 pro
motorola-edge-60-pro,Motorola Edge 60 Pro,Motorola,Điện thoại,2025,Edge 60 Pro|motorola edge 60 pro
motorola-edge-60-fusion,Motorola Edge 60 Fusion,Motorola,Điện thoại,2025,Edge 60 Fusion|motorola edge 60 fusion
motorola-edge-50-pro,Motorola Edge 50 Pro,Motorola,Điện thoại,2025,Edge 50 Pro|motorola edge 50 pro
motorola-edge-50-fusion,Motorola Edge 50 Fusion,Motorola,Điện thoại,2025,Edge 50 Fusion|motorola edge 50 fusion
motorola-razr-60-ultra,Motorola Razr 60 Ultra,Motorola,Điện thoại,2025,Razr 60 Ultra|motorola razr 60 ultra
motorola-razr-60,Motorola Razr 60,Motorola,Điện thoại,2025,Razr 60|motorola razr 60
motorola-razr-50-ultra,Motorola Razr 50 Ultra,Motorola,Điện thoại,2025,Razr 50 Ultra|motorola razr 50 ultra
macbook-air-m1,MacBook Air M1,Apple,Laptop,2020,macbook air m1
macbook-air-m2,MacBook Air M2,Apple,Laptop,2022,macbook air m2
macbook-air-m4,MacBook Air M4,Apple,Laptop,2025,macbook air m4
macbook-air-m5,MacBook Air M5,Apple,Laptop,2026,macbook air m5
macbook-pro-m1,MacBook Pro M1,Apple,Laptop,2020,macbook pro m1
macbook-pro-m5,MacBook Pro M5,Apple,Laptop,2026,macbook pro m5
macbook-air-15,MacBook Air 15,Apple,Laptop,2023,macbook air 15|macbook air 15 inch
macbook-pro-14,MacBook Pro 14,Apple,Laptop,2021,macbook pro 14|macbook pro 14 inch
macbook-air-13-m4,MacBook Air 13 M4,Apple,Laptop,2025,macbook air 13 m4
macbook-air-15-m4,MacBook Air 15 M4,Apple,Laptop,2025,macbook air 15 m4
macbook-pro-14-m4,MacBook Pro 14 M4,Apple,Laptop,2025,macbook pro 14 m4
